"","imd","job_status","english_lang","uk_born","gross_income","qualification","own_home","workingstatus","ethnicity","sex","age","p_age","p_sex","p_ethn","p_workstatus","p_own_home","p_qual","p_income","p_uk","p_english","p_job","p_imd","product_p"
"2278","2","lower","No","Yes","<10000","<=Level 1","Yes","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.35,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,1.28212378979576e-05
"2279","2","lower","No","Yes","<10000","<=Level 1","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,2.38108703819212e-05
"2280","2","intermediate","Yes","No",">=10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.9,0.553,0.6537,0.276,0.23511393173018,0.000283847332398327
"2281","2","higher","Yes","No","<10000","<=Level 1","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.43,0.1,0.553,0.6537,0.167,0.23511393173018,1.88948134609749e-05
"2282","2","lower","Yes","Yes","<10000","<=Level 1","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.43,0.1,0.463,0.6537,0.557,0.23511393173018,0.000174204744108437
"2283","2","intermediate","No","Yes",">=10000",">=level 2","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.57,0.9,0.463,0.3463,0.276,0.23511393173018,0.000261410711770227
"2284","2","intermediate","Yes","No","<10000",">=level 2","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.57,0.1,0.553,0.6537,0.276,0.23511393173018,1.69823190323786e-05
"2285","2","lower","No","Yes",">=10000","<=Level 1","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.43,0.9,0.463,0.3463,0.557,0.23511393173018,0.000191670111894223
"2286","2","higher","No","Yes","<10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.1,0.463,0.3463,0.167,0.23511393173018,1.11090999730767e-05
"2287","2","lower","Yes","No","<10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.1,0.553,0.6537,0.557,0.23511393173018,3.58023016634666e-05
"2288","2","higher","Yes","Yes","<10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.1,0.463,0.6537,0.167,0.23511393173018,8.98727608481531e-06
"2289","2","intermediate","Yes","No",">=10000","<=Level 1","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.43,0.9,0.553,0.6537,0.276,0.23511393173018,0.000102604170958314
"2290","2","intermediate","Yes","No",">=10000","<=Level 1","Yes","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.6537,0.276,0.23511393173018,0.000128912932742496
"2291","2","intermediate","Yes","Yes","<10000","<=Level 1","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.43,0.1,0.463,0.6537,0.276,0.23511393173018,1.12050627770342e-05
"2292","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000661790374386808
"2293","2","lower","Yes","Yes","<10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.1,0.463,0.6537,0.557,0.23511393173018,9.89668147592779e-05
"2294","2","lower","Yes","Yes","<10000","<=Level 1","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.43,0.1,0.463,0.6537,0.557,0.23511393173018,4.02010947942546e-05
"2295","2","lower","Yes","Yes",">=10000",">=level 2","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.57,0.9,0.463,0.6537,0.557,0.23511393173018,0.00047960840998727
"2296","2","lower","No","No",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.553,0.3463,0.557,0.23511393173018,0.000563573091575463
"2297","2","lower","Yes","No",">=10000","<=Level 1","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.43,0.9,0.553,0.6537,0.557,0.23511393173018,0.00100832681176172
"2298","2","intermediate","No","No",">=10000","<=Level 1","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.43,0.9,0.553,0.3463,0.276,0.23511393173018,5.20320794990876e-05
"2299","2","lower","Yes","Yes",">=10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.9,0.463,0.6537,0.557,0.23511393173018,0.00071915291798611
"2300","2","lower","No","Yes","<10000","<=Level 1","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,7.86136672926921e-05
"2301","2","higher","No","No",">=10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.9,0.553,0.3463,0.167,0.23511393173018,6.43013679950192e-05
"2302","2","intermediate","Yes","No","<10000",">=level 2","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.57,0.1,0.553,0.6537,0.276,0.23511393173018,6.26878196380394e-05
"2303","2","lower","No","Yes","<10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,4.23304362345265e-05
"2304","2","intermediate","No","No","<10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.1,0.553,0.3463,0.276,0.23511393173018,2.50524827217829e-05
"2305","2","intermediate","No","No",">=10000","<=Level 1","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.43,0.9,0.553,0.3463,0.276,0.23511393173018,5.43549401910111e-05
"2306","2","intermediate","Yes","Yes","<10000",">=level 2","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.57,0.1,0.463,0.6537,0.276,0.23511393173018,1.42184696419372e-05
"2307","2","intermediate","No","Yes",">=10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.9,0.463,0.3463,0.276,0.23511393173018,0.000131517190393717
"2308","2","lower","Yes","No","<10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.1,0.553,0.6537,0.557,0.23511393173018,0.000118204424539699
"2309","2","higher","Yes","No",">=10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.9,0.553,0.6537,0.167,0.23511393173018,0.000171748204748263
"2310","2","lower","No","Yes",">=10000","<=Level 1","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.43,0.9,0.463,0.3463,0.557,0.23511393173018,0.000380973926110739
"2311","2","higher","No","No",">=10000","<=Level 1","No","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.65,0.43,0.9,0.553,0.3463,0.167,0.23511393173018,0.000136427106995796
"2312","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,8.59054812905952e-05
"2313","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000436997448304332
"2314","2","lower","Yes","No","<10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.6537,0.557,0.23511393173018,6.36485362906072e-05
"2315","2","lower","No","No",">=10000","<=Level 1","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.000455029332914122
"2316","2","lower","Yes","No",">=10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.9,0.553,0.6537,0.557,0.23511393173018,0.000274484312753244
"2317","2","higher","Yes","Yes",">=10000","<=Level 1","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.43,0.9,0.463,0.6537,0.167,0.23511393173018,3.28563170226244e-05
"2318","2","lower","No","No",">=10000",">=level 2","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.57,0.9,0.553,0.3463,0.557,0.23511393173018,0.000480080781712432
"2319","2","lower","No","Yes",">=10000",">=level 2","Yes","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.35,0.57,0.9,0.463,0.3463,0.557,0.23511393173018,0.000152960349805866
"2320","2","higher","Yes","Yes","<10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.1,0.463,0.6537,0.167,0.23511393173018,1.66906555860856e-05
"2321","2","lower","No","No",">=10000","<=Level 1","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.000109694571327512
"2322","2","lower","No","Yes",">=10000","<=Level 1","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.43,0.9,0.463,0.3463,0.557,0.23511393173018,0.000251567021861167
"2323","2","lower","Yes","Yes",">=10000",">=level 2","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.57,0.9,0.463,0.6537,0.557,0.23511393173018,0.00207830310994484
"2324","2","higher","Yes","No","<10000",">=level 2","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.6537,0.167,0.23511393173018,1.90831338609181e-05
"2325","2","intermediate","Yes","No",">=10000",">=level 2","No","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.65,0.57,0.9,0.553,0.6537,0.276,0.23511393173018,0.000241795875746723
"2326","2","lower","No","No",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.000245015794646066
"2327","2","higher","No","No","<10000","<=Level 1","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.43,0.1,0.553,0.3463,0.167,0.23511393173018,2.81516252531008e-05
"2328","2","lower","No","No","<10000","<=Level 1","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.43,0.1,0.553,0.3463,0.557,0.23511393173018,2.65719769054221e-05
"2329","2","intermediate","Yes","Yes","<10000",">=level 2","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.57,0.1,0.463,0.6537,0.276,0.23511393173018,4.17741432337187e-05
"2330","2","higher","No","Yes","<10000",">=level 2","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.57,0.1,0.463,0.3463,0.167,0.23511393173018,1.75747137140209e-05
"2331","2","higher","Yes","No",">=10000",">=level 2","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.57,0.9,0.553,0.6537,0.167,0.23511393173018,0.000225419518732096
"2332","2","intermediate","No","Yes","<10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,1.46130211548574e-05
"2333","2","higher","No","Yes","<10000",">=level 2","No","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.65,0.57,0.1,0.463,0.3463,0.167,0.23511393173018,9.46330738447278e-06
"2334","2","lower","Yes","No",">=10000",">=level 2","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.57,0.9,0.553,0.6537,0.557,0.23511393173018,0.000906233921471027
"2335","2","higher","No","Yes",">=10000",">=level 2","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.57,0.9,0.463,0.3463,0.167,0.23511393173018,4.28493856104389e-05
"2336","2","intermediate","No","No",">=10000",">=level 2","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,0.00065159976835655
"2337","2","intermediate","No","Yes","<10000","<=Level 1","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.43,0.1,0.463,0.3463,0.276,0.23511393173018,5.68225162546054e-06
"2338","2","intermediate","Yes","Yes",">=10000","<=Level 1","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,9.65359254636789e-05
"2339","2","lower","No","No","<10000",">=level 2","No","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.65,0.57,0.1,0.553,0.3463,0.557,0.23511393173018,3.76986511280595e-05
"2340","2","intermediate","Yes","No","<10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.1,0.553,0.6537,0.276,0.23511393173018,4.13944026414227e-05
"2341","2","intermediate","No","No",">=10000",">=level 2","Yes","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.35,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,0.00035086141373045
"2342","2","intermediate","Yes","Yes","<10000",">=level 2","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.57,0.1,0.463,0.6537,0.276,0.23511393173018,2.95230723815224e-05
"2343","2","lower","Yes","No",">=10000","<=Level 1","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.43,0.9,0.553,0.6537,0.557,0.23511393173018,0.000432140062183596
"2344","2","intermediate","No","Yes",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.463,0.3463,0.276,0.23511393173018,0.000221607813392961
"2345","2","lower","Yes","Yes",">=10000",">=level 2","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.57,0.9,0.463,0.6537,0.557,0.23511393173018,0.000408555312211378
"2346","2","lower","Yes","No",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.6537,0.557,0.23511393173018,0.000462508879469053
"2347","2","intermediate","No","Yes","<10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,6.70283876333915e-06
"2348","2","intermediate","No","No",">=10000","<=Level 1","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.43,0.9,0.553,0.3463,0.276,0.23511393173018,0.000276501217493404
"2349","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000418322343675942
"2350","2","higher","No","Yes","<10000",">=level 2","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.57,0.1,0.463,0.3463,0.167,0.23511393173018,1.11090999730767e-05
"2351","2","lower","Yes","Yes","<10000","<=Level 1","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.43,0.1,0.463,0.6537,0.557,0.23511393173018,4.02010947942546e-05
"2352","2","higher","Yes","No","<10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.1,0.553,0.6537,0.167,0.23511393173018,9.14400164168994e-06
"2353","2","lower","Yes","No","<10000","<=Level 1","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.43,0.1,0.553,0.6537,0.557,0.23511393173018,4.09021458033857e-05
"2354","2","lower","Yes","No",">=10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.9,0.553,0.6537,0.557,0.23511393173018,0.000322220714971199
"2355","2","intermediate","No","Yes","<10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,7.86854985261552e-06
"2356","2","higher","Yes","No",">=10000",">=level 2","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.167,0.23511393173018,0.000356616064025908
"2357","2","higher","Yes","No","<10000","<=Level 1","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.43,0.1,0.553,0.6537,0.167,0.23511393173018,8.09777719756066e-06
"2358","2","higher","No","No",">=10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.9,0.553,0.3463,0.167,0.23511393173018,9.50460454037165e-05
"2359","2","lower","No","No","<10000",">=level 2","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.57,0.1,0.553,0.3463,0.557,0.23511393173018,1.89664021203281e-05
"2360","2","lower","No","No","<10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.1,0.553,0.3463,0.557,0.23511393173018,3.52233182234664e-05
"2361","2","higher","Yes","Yes","<10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.1,0.463,0.6537,0.167,0.23511393173018,1.07258339016495e-05
"2362","2","higher","Yes","No",">=10000","<=Level 1","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.43,0.9,0.553,0.6537,0.167,0.23511393173018,0.000138669628135246
"2363","2","lower","Yes","No","<10000",">=level 2","No","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.65,0.57,0.1,0.553,0.6537,0.557,0.23511393173018,5.42191235068136e-05
"2364","2","intermediate","Yes","Yes","<10000","<=Level 1","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.43,0.1,0.463,0.6537,0.276,0.23511393173018,1.07262139404088e-05
"2365","2","intermediate","No","Yes","<10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,9.88612673790155e-06
"2366","2","higher","No","Yes",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.463,0.3463,0.167,0.23511393173018,0.000134088785639944
"2367","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","Yes","BME","Male","16-44",0.64,0.54,0.7,0.65,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000776884352541035
"2368","2","lower","Yes","No","<10000","<=Level 1","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.43,0.1,0.553,0.6537,0.557,0.23511393173018,6.30204257351078e-05
"2369","2","higher","No","No","<10000",">=level 2","Yes","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.35,0.57,0.1,0.553,0.3463,0.167,0.23511393173018,6.08613771146272e-06
"2370","2","lower","No","Yes",">=10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.9,0.463,0.3463,0.557,0.23511393173018,0.000271929510765983
"2371","2","intermediate","Yes","No","<10000",">=level 2","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.57,0.1,0.553,0.6537,0.276,0.23511393173018,3.2946565367663e-05
"2372","2","lower","Yes","No",">=10000","<=Level 1","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.43,0.9,0.553,0.6537,0.557,0.23511393173018,0.00020706711312964
"2373","2","intermediate","No","No",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,0.000279257043581379
"2374","2","intermediate","No","No","<10000",">=level 2","Yes","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.35,0.57,0.1,0.553,0.3463,0.276,0.23511393173018,5.0605011595738e-06
"2375","2","intermediate","No","No",">=10000",">=level 2","Yes","No","BME","Female","16-44",0.64,0.46,0.7,0.35,0.35,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,0.000160936431939038
"2376","2","higher","Yes","No","<10000","<=Level 1","No","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.65,0.43,0.1,0.553,0.6537,0.167,0.23511393173018,1.43960483512189e-05
"2377","2","intermediate","No","No","<10000","<=Level 1","No","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.65,0.43,0.1,0.553,0.3463,0.276,0.23511393173018,2.61708971290054e-05
"2378","2","lower","No","Yes","<10000","<=Level 1","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,1.89515090794883e-05
"2379","2","intermediate","No","Yes","<10000","<=Level 1","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.43,0.1,0.463,0.3463,0.276,0.23511393173018,1.17985641389771e-05
"2380","2","higher","No","Yes",">=10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.9,0.463,0.3463,0.167,0.23511393173018,0.000141470987412243
"2381","2","intermediate","No","Yes","<10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,2.5978704275302e-05
"2382","2","intermediate","No","Yes",">=10000",">=level 2","Yes","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.35,0.57,0.9,0.463,0.3463,0.276,0.23511393173018,8.8975140641114e-05
"2383","2","higher","Yes","Yes",">=10000",">=level 2","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.57,0.9,0.463,0.6537,0.167,0.23511393173018,0.000530804059132796
"2384","2","intermediate","No","No","<10000","<=Level 1","No","No","BME","Female",">=45",0.36,0.46,0.7,0.35,0.65,0.43,0.1,0.553,0.3463,0.276,0.23511393173018,1.40920215310029e-05
"2385","2","lower","No","No",">=10000",">=level 2","Yes","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.35,0.57,0.9,0.553,0.3463,0.557,0.23511393173018,0.000603178418048952
"2386","2","intermediate","Yes","Yes",">=10000",">=level 2","No","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.65,0.57,0.9,0.463,0.6537,0.276,0.23511393173018,0.000211481600120701
"2387","2","intermediate","Yes","Yes",">=10000","<=Level 1","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000187284620701857
"2388","2","lower","Yes","No","<10000",">=level 2","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.57,0.1,0.553,0.6537,0.557,0.23511393173018,2.9194912657515e-05
"2389","2","lower","No","Yes","<10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.1,0.463,0.3463,0.557,0.23511393173018,5.24280372512436e-05
"2390","2","intermediate","Yes","Yes",">=10000","<=Level 1","Yes","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.35,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000152720855627725
"2391","2","intermediate","Yes","Yes",">=10000","<=Level 1","Yes","Yes","BME","Female",">=45",0.36,0.46,0.7,0.65,0.35,0.43,0.9,0.463,0.6537,0.276,0.23511393173018,0.000200446123011389
"2392","2","higher","Yes","Yes",">=10000",">=level 2","Yes","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.35,0.57,0.9,0.463,0.6537,0.167,0.23511393173018,8.08854847633378e-05
"2393","2","lower","No","Yes",">=10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.9,0.463,0.3463,0.557,0.23511393173018,6.55544356310853e-05
"2394","2","lower","No","No",">=10000","<=Level 1","No","No","White","Male",">=45",0.36,0.54,0.3,0.35,0.65,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.000128771888080122
"2395","2","lower","Yes","Yes",">=10000",">=level 2","No","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.65,0.57,0.9,0.463,0.6537,0.557,0.23511393173018,0.0002298123631189
"2396","2","intermediate","No","No",">=10000",">=level 2","Yes","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.35,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,0.00015036917731305
"2397","2","lower","No","Yes","<10000","<=Level 1","Yes","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.35,0.43,0.1,0.463,0.3463,0.557,0.23511393173018,9.76856220796766e-06
"2398","2","intermediate","No","No","<10000",">=level 2","Yes","No","White","Female",">=45",0.36,0.46,0.3,0.35,0.35,0.57,0.1,0.553,0.3463,0.276,0.23511393173018,4.31079728408138e-06
"2399","2","intermediate","No","No",">=10000",">=level 2","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.57,0.9,0.553,0.3463,0.276,0.23511393173018,8.09680185531807e-05
"2400","2","higher","Yes","No","<10000","<=Level 1","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.43,0.1,0.553,0.6537,0.167,0.23511393173018,6.89810650162575e-06
"2401","2","intermediate","Yes","No",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.276,0.23511393173018,0.000691877872720923
"2402","2","intermediate","No","Yes","<10000",">=level 2","Yes","No","White","Male","16-44",0.64,0.54,0.3,0.35,0.35,0.57,0.1,0.463,0.3463,0.276,0.23511393173018,7.53228703840118e-06
"2403","2","intermediate","No","No",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.553,0.3463,0.276,0.23511393173018,0.000264684926147532
"2404","2","intermediate","No","Yes",">=10000",">=level 2","No","Yes","White","Female","16-44",0.64,0.46,0.3,0.65,0.65,0.57,0.9,0.463,0.3463,0.276,0.23511393173018,0.000199170066110649
"2405","2","higher","No","Yes",">=10000",">=level 2","Yes","Yes","White","Female",">=45",0.36,0.46,0.3,0.65,0.35,0.57,0.9,0.463,0.3463,0.167,0.23511393173018,3.65013284829664e-05
"2406","2","intermediate","Yes","Yes","<10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.1,0.463,0.6537,0.276,0.23511393173018,3.46575197522219e-05
"2407","2","intermediate","Yes","No","<10000",">=level 2","Yes","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.35,0.57,0.1,0.553,0.6537,0.276,0.23511393173018,4.13944026414227e-05
"2408","2","lower","No","No",">=10000","<=Level 1","No","No","BME","Male","16-44",0.64,0.54,0.7,0.35,0.65,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.0005341648690731
"2409","2","lower","No","No","<10000",">=level 2","No","Yes","White","Male","16-44",0.64,0.54,0.3,0.65,0.65,0.57,0.1,0.553,0.3463,0.557,0.23511393173018,6.26192323972737e-05
"2410","2","higher","Yes","Yes",">=10000",">=level 2","No","No","BME","Male",">=45",0.36,0.54,0.7,0.35,0.65,0.57,0.9,0.463,0.6537,0.167,0.23511393173018,0.000188732797781122
"2411","2","higher","No","Yes","<10000","<=Level 1","No","Yes","White","Male",">=45",0.36,0.54,0.3,0.65,0.65,0.43,0.1,0.463,0.3463,0.167,0.23511393173018,6.67023295912986e-06
"2412","2","higher","Yes","No",">=10000","<=Level 1","No","No","White","Female","16-44",0.64,0.46,0.3,0.35,0.65,0.43,0.9,0.553,0.6537,0.167,0.23511393173018,0.000110369704026012
"2413","2","lower","No","No",">=10000","<=Level 1","No","Yes","BME","Female","16-44",0.64,0.46,0.7,0.65,0.65,0.43,0.9,0.553,0.3463,0.557,0.23511393173018,0.000845054475411941
"2414","2","lower","Yes","No",">=10000",">=level 2","No","Yes","BME","Male",">=45",0.36,0.54,0.7,0.65,0.65,0.57,0.9,0.553,0.6537,0.557,0.23511393173018,0.0013962897648752
